speaker_note_id	speaker_note
i-QWeNiL5PSXJcaS3BfedJuj	Herr FÖRSTE VICE TALMANNEN, som yttrade:
i-4vP9JWQg17eap3FgUbAsso	Herr MUNKTELL (h), som anförde:
i-Fm8rc8Wph5W4RzT98eRMvq	Herr RIMMERFORS (fp) erhöll på begäran ordet och yttrade:
i-VqRGkB2GpqVqWoqU3BirdQ	Herr SENANDER (k), som anförde:
i-XwHduHhCY7ALJfMMASoebP	Herr BJÖRKMAN (h), som yttrade:
i-Q71kM75RGPz3Ft5MMv1h42	Fru SJÖQVIST (h) erhöll på begäran ordet och anförde:
i-AbaW8XSXpARevB7PnZqdC3	Herr NIHLFORS (fp), som yttrade:
i-6TprtYFyxRg9pn4wo3hSaf	Herr ERIKSSON i Bäckmora (cp), som anförde:
i-A2Sd1miWtgHiM5W5XoA5ta	Herr ANDRE VICE TALMANNEN, som yttrade:
i-HpYDRu46nsa2N1xzcb3g8m	Herr ANDRE VICE TALMANNEN, som anförde:
i-VeBXb9AxhK5Nfd5P5AQ7tR	Fröken BERGEGREN (s), förde:
i-7wFGJGb4mAS3RyCQ2GbHZj	Herr SVENSSON i Kungälv (s), som yttrade:
i-J3LceF93mBg4AAVPfmyZM2	Herr ANDRE VICE TALMANNEN, som anförde:
i-7aEZKMF1pz2Ffj43X8N5La	Herr HAGLUND (s), som anförde:
i-BV4F9B9wG7KyrQD4jcspox	Herr LOTHIGIUS (h) erhöll på begäran ordet och yttrade:
i-4F8nFMJ5rarPEj8UkZ29t9	Herr FÖRSTE VICE TALMANNEN öppnade sammanträdet med följande ord:
i-6NYSHuvMsTBSTdfykiXqN5	Herr FÖRSTE VICE TALMANNEN yttrade;
i-Nf2p2YXsMArqMg4Fsg7xNx	Herr RIMMERFORS (fp), rade:
i-DmsGegGAKvXR9khEahEMJJ	Herr RIMMERFORS (fp) erhöll på begäran ordet och anförde:
i-ATm18xS5BtyuMLos2L5KJJ	Herr GUSTAFSON i Göteborg (fp), som yttrade:
i-8x76L7c8D8CGdRQASAjCpg	Herr ADAMSSON (s), som anförde:
i-bEeGErVC4ETEA5Ch7WepM	Fröken VINGE (fp) erhöll på begäran ordet och yttrade:
i-SWoSrnzkbgb35Dvg4A62Ui	Herr NIHLFORS (fp), som anförde:
i-Y9m9fVaufx2ruLRAMMr8iX	Herr HAGBERG (k), som yttrade:
i-Ue87EXJpsCqjyoSb6NufqG	Herr NILSSON i Gävle (k) erhöll på begäran ordet och anförde:
i-8fuGg3fARWvAmf6Y99rDH8	Herr SENANDER (k), som yttrade:
i-8SNdZxxXwk4oELRErjs817	Herr DICKSON (h), som anförde:
i-MmfEU6soHtpmUU33EJqAfJ	Herr SVENSSON i Stenkyrka (cp) erhöll på begäran ordet och yttrade:
i-3Smns3nyt8SjMBWkcD5ZsL	Herr FÖRSTE VICE TALMANNEN anförde:
i-VG6x6Q46SQmpPAG4uT3HhR	Herr TALMANNEN yttrade:
i-2fpnwtkdPYgD5NzJ1uEM6n	Herr OHLIN (fp), som yttrade:
i-SnYFh4F99xPViz6GMDN88N	Herr LARSSON i Hedcenäset (cp) crhöll på begäran ordet och anförde:
i-TjA6WXELMke1BqARR2jVmM	Herr SANDLER framträdde till talmansbordet och yttrade:
i-HKZaVZ3F2TB44zFEDteeBZ	Herr SANDLER, som nu lämnade talmansplatsen, yttrade därvid till herr talmannen:
i-CnJQKsb5EgCfzUF4wr6rn7	Herr TALMANNEN intog talmansplatsen och anförde:
i-bsRLQcuTezpbvQVGz2CtT	Hovrättsassessor Lindelöw fick nu företräde, varvid herr TALMANNEN yttrade:
i-14bCmPFfvRWGyMwactK2zp	Herr TALMANNEN anförde:
i-6ji46ZBsoPPuUUWdaEUWM1	Herr TALMANNEN framträdde därpå och yttrade:
i-578a2THJjaxvaAMZW6qt9P	Herr ANDRE VICE TALMANNEN erhöll på begäran ordet och yttrade:
i-KAdQxff76TWwUqJEMf91nz	Då val av två kanslideputerade nu skulle anställas, begärdes ordet av herr ANDRE VICE TALMANNEN, som anförde:
i-CUaM61qaDqoxx1EnFsYWBh	Herr LUNDSTRÖM (fp) erhöll på begäran ordet och yttrade:
i-B2ComfkjXqMRrUxWqiL4wv	Herr FÖRSTE VICE TALMANNEN erhöll på begäran ordet och yttrade:
i-Uqxw8F3ab3EzhSdhtXgEQQ	herr SKÖLD såsom den ledamot, vilken bevistat de flesta riksdagarna, med följande ord:
i-PWk4UNeJWdMaG3JxDaDzEG	Herr TALMANNEN yttrade:
i-Y2gdM3mpbcnxioMdhTjakM	Herr TALMANNEN anförde:
i-GuKMXaKb5uxijU8tHTXeSk	Herr FÖRSTE VICE TALMANNEN, som yttrade:
i-MWg5aQjasHD18uxfouiMch	Herr FÖRSTE VICE TALMANNEN, som anförde:
i-SKNuteKo1bRroN1ieM8Kxi	Fru JOHANSSON (s), som yttrade:
i-62j4hD9tw7szBSmFtDbLq9	Herr ANDRE VICE TALMANNEN, som yttrade:
i-SLjr9n1mdabZqnU8nPCYAh	Herr HEDLUND (cp), som anförde:
i-D7UyuqJ3HZRzwWY5U43fKX	Herr HECKSCHER (h), som yttrade:
